NU_INSCRICAO,FAIXA_ETARIA,SEXO,ESTADO_CIVIL,RACA,NACIONALIDADE,TP_ST_CONCLUSAO,ESCOLA,IN_TREINEIRO,NO_MUNICIPIO_ESC,NO_MUNICIPIO_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,COMP1,COMP2,COMP3,COMP4,COMP5,NOTA_REDACAO,INTERNET
"2,10E+11",17,F,1,parda,1,3,nao_respondeu,1,,Linhares,1,1,1,1,445.9,445.1,423.8,493.5,ingles,1.0,160.0,200.0,160.0,180.0,160.0,860.0,sim
"2,10E+11",17,F,1,preta,1,3,nao_respondeu,1,,Cachoeiro de Itapemirim,1,1,1,1,453.6,494.5,481.1,647.1,ingles,1.0,80.0,80.0,80.0,100.0,20.0,360.0,sim
"2,10E+11",<_17,M,2,branca,1,3,nao_respondeu,1,,Conceição da Barra,1,1,1,1,435.9,451.2,341.3,556.2,espanhol,1.0,100.0,60.0,80.0,80.0,20.0,340.0,sim
"2,10E+11",<_17,F,1,branca,1,3,nao_respondeu,1,,Baixo Guandu,1,1,1,1,544.8,601.3,581.0,631.2,ingles,1.0,160.0,160.0,140.0,160.0,180.0,800.0,sim
"2,10E+11",17,F,1,branca,1,3,nao_respondeu,1,,Vila Velha,1,1,1,1,496.2,533.3,506.5,425.7,ingles,1.0,120.0,40.0,40.0,120.0,40.0,360.0,sim
"2,10E+11",18,F,1,parda,1,3,nao_respondeu,1,,Vitória,1,1,1,1,483.7,486.5,422.8,492.0,espanhol,1.0,80.0,120.0,80.0,120.0,0.0,400.0,sim
"2,10E+11",<_17,M,1,branca,1,3,nao_respondeu,1,,Vitória,1,1,1,1,497.0,485.6,486.8,396.5,ingles,1.0,140.0,160.0,120.0,160.0,140.0,720.0,sim
"2,10E+11",<_17,M,1,branca,1,3,nao_respondeu,1,,Cachoeiro de Itapemirim,0,0,0,0,,,,,ingles,,,,,,,,sim
"2,10E+11",<_17,F,1,branca,1,3,nao_respondeu,1,,Cachoeiro de Itapemirim,1,1,1,1,557.8,538.2,575.7,626.2,ingles,1.0,140.0,180.0,160.0,160.0,140.0,780.0,sim
"2,10E+11",<_17,F,1,parda,1,3,nao_respondeu,1,,Vitória,1,1,1,1,451.1,588.5,631.2,606.5,ingles,1.0,120.0,140.0,120.0,120.0,80.0,580.0,sim
"2,10E+11",17,F,1,branca,1,3,nao_respondeu,1,,Cariacica,0,0,0,0,,,,,ingles,,,,,,,,sim
"2,10E+11",<_17,F,1,parda,1,3,nao_respondeu,1,,Santa Maria de Jetibá,1,1,1,1,461.8,550.6,529.5,682.7,ingles,1.0,160.0,200.0,160.0,200.0,180.0,900.0,sim
"2,10E+11",17,F,1,preta,1,3,nao_respondeu,1,,Vila Velha,0,0,0,0,,,,,ingles,,,,,,,,sim
